hid,lat,lng,place,tier,airport,landmarks,bar,hospital,food,atm,market_place,bus_station,movie_theatre,train_station,spa_gym,offices,
10297,11.40453815,76.70059967,Udagamandalam,3,No,0.69152791,2.823731512,0.948741831,0.746255889,0.400390248,0.259145743,0.540617864,0.593159617,3.646984538,2.169832388,4.927667368,
10298,30.82120132,76.98917389,Parwanoo,3,No,9.102521049,0,4.644435796,3.286398365,0,0,1.698428611,0,5.531768485,0.305431541,5.247846832,
10300,9.492119789,76.3260498,Alappuzha,3,No,1.046983158,3.278386233,0.966301215,0.6982035,0.543522248,0.871441643,0.446333804,1.44335336,3.189832326,1.132358419,0.785511746,
10304,12.99765301,77.60086823,Bangalore,1,Yes,1.543356896,1.654385883,2.272469095,2.073872481,0.890674515,0.944024724,1.18851057,2.124773507,3.465713884,1.936315138,3.031894444,
10306,15.54998589,73.7592926,Goa,2,Yes,4.110940413,0.643361214,0.910284988,0.721194611,0.46429397,0.508229204,1.864431485,0,9.83883635,0.876941331,2.52566949,
10308,27.4618187,77.67383575,Mathura,3,No,3.884184297,0,1.288760878,3.088584727,1.55385565,1.532172927,1.773087537,3.057839246,3.016198118,3.599655119,4.187504872,
10309,19.98518372,79.27496338,Chandrapur,3,No,2.89008603,3.116488012,2.60010647,1.872532342,1.989806096,1.922925022,1.77020362,3.697743584,6.111167051,2.841668949,3.290474943,
10310,11.33761597,76.83081818,Udagamandalam,3,No,8.966231076,3.343705854,4.050577962,3.439347347,0,0,2.462096533,0,6.027998512,4.010252424,7.215041773,
10311,25.30785179,82.99185181,Varanasi,2,Yes,1.427188805,0.786026517,0.769152418,1.216331291,0.616025573,0.802002262,2.314744691,0.935823404,2.330075965,0.879280709,1.105878846,
10312,18.52665138,73.84910583,Pune,2,No,1.097335514,1.229472093,0.514413314,1.314670814,0.534422179,0.989619028,0.681119725,1.187960301,1.647935192,1.141354122,1.469181154,
10313,17.41725159,78.45568848,Hyderabad,1,Yes,2.210265227,0.679318903,1.093599528,0.774999586,0.704703006,0.886969662,0.932316302,1.505278571,1.931590963,1.008437269,1.672834618,
10315,12.94005775,77.6247406,Bangalore,1,Yes,4.142689533,0.717451221,2.304018194,1.580775393,0.445776539,0.434488671,1.572613711,2.092083542,4.300497133,1.011639631,3.049783242,
10316,15.58611774,73.74156189,Goa,2,Yes,5.920990998,0.978651571,2.564783888,0.906867148,0.987714384,0.065813727,1.034051181,0,0,0.560882495,4.689457867,
10317,11.48332596,76.65601349,Masinagudi,3,No,9.04285452,0,1.837337637,4.84776108,0,0,0,0,9.980896055,0,8.604833004,
10318,17.39208031,78.47556305,Hyderabad,1,Yes,1.066245265,1.851164521,0.655075015,1.46498045,0.385430334,0.459076696,0.853760592,1.125838419,2.179706873,1.545085361,1.956037978,
10319,23.16299438,79.94580841,Jabalpur,2,Yes,1.197614769,3.052965536,0.912275677,0.542801589,0.497596462,0.786664327,1.728139324,1.120012687,1.219235111,1.14686035,0.693804432,
10322,9.287796021,79.31541443,Rameswaram,3,No,0.266378861,0,0.318698071,0.183020092,0.12690707,0.390517233,0.614876403,1.025655076,1.27560556,0,0.385179347,
10326,29.6432991,79.43179321,Ranikhet,3,No,0.880456323,0.845178299,1.550518415,0.220712736,0.251800613,0.132100623,0.401291352,0.708765249,0,1.58170344,0,
10327,18.99892426,72.84007263,Mumbai,1,Yes,2.572045317,1.105930768,2.225777602,1.807445783,0.293150007,0.920349978,1.261221788,1.180764056,2.410394108,1.580819091,2.836182639,
10328,10.77758598,79.14130402,Thanjavur,3,No,1.985464658,0.711536096,0.540625754,0.68770764,0.424868804,0.560195019,0.745570095,0.616375041,5.431346479,1.463400257,1.738795508,
10329,23.34013176,85.32217407,Ranchi,2,Yes,1.876550639,3.105706942,1.448676053,0.977407826,0.811698509,1.103095105,1.631400296,1.161130553,2.149853401,1.039055659,1.865806871,
10330,11.00620174,76.96775818,Coimbatore,2,Yes,0.921740788,1.065156921,1.25989693,0.848204808,0.926479536,0.851084868,1.227295266,0.849537149,1.202032211,1.077763069,1.031999478,
10331,19.87280655,75.3279953,Aurangabad,2,Yes,1.645889634,1.36851741,0.87415039,0.879991134,0.463192188,0.660713333,0.875541978,0.712549954,2.837755319,0.701799626,1.046127401,
10332,17.7153244,83.30155182,Visakhapatnam,2,Yes,1.443812259,0.482284459,0.617498165,0.988198449,0.313727046,0.379306705,0.711506387,0.359129962,1.418768756,1.410578529,1.248055977,
10333,28.70404434,77.14378357,Delhi,1,Yes,8.685649101,1.208116436,1.015673129,1.475677086,0.550425941,0.808167677,1.160834744,1.08174948,3.599982138,1.329610045,2.435615976,
10335,28.64529228,77.19026184,Delhi,1,Yes,3.576669503,1.694264381,0.791301901,2.021959098,0.27367803,0.534306247,0.810954727,1.586994391,3.881458734,1.377759239,3.002723183,
10336,28.64930534,77.19385529,Delhi,1,Yes,3.396858045,1.467918149,1.125492859,2.021460544,0.27329433,0.619865398,0.911481543,1.346214957,3.485298778,1.536035972,2.895578957,
